RESOCONTO ADDESTRAMENTO FEDERATO SMARTGRID
Rounds totali: 201

TABELLA RIASSUNTIVA METRICHE:
============================================================================================================================================
Round   Loss         Accuracy     BalancedAcc    AUC        F1_Score     F1_Natural   F1_Attack    Precision    Precision_Nat   Precision_Att   Recall       Recall_Nat    Recall_Att  
169     0.780226     0.656722     0.527980       0.565451   0.776937     0.255479     0.776937     0.704788     0.388079        0.704788        0.865543     0.190417      0.865543    
170     0.780486     0.656241     0.527803       0.565547   0.776499     0.255833     0.776499     0.704713     0.387137        0.704713        0.864567     0.191039      0.864567    
171     0.780353     0.657685     0.528591       0.565221   0.777729     0.255702     0.777729     0.705076     0.390415        0.705076        0.867075     0.190106      0.867075    
172     0.780526     0.655856     0.527525       0.565489   0.776192     0.255620     0.776192     0.704579     0.386164        0.704579        0.864010     0.191039      0.864010    
173     0.780493     0.655856     0.527181       0.565482   0.776304     0.254379     0.776304     0.704393     0.385588        0.704393        0.864567     0.189795      0.864567    
174     0.780442     0.658069     0.528869       0.565372   0.778035     0.255916     0.778035     0.705209     0.391416        0.705210        0.867633     0.190106      0.867633    
175     0.780460     0.658743     0.529271       0.565095   0.778596     0.255980     0.778596     0.705397     0.393041        0.705397        0.868747     0.189795      0.868747    
176     0.780315     0.658551     0.529132       0.565292   0.778444     0.255872     0.778444     0.705330     0.392535        0.705330        0.868469     0.189795      0.868469    
177     0.780516     0.658358     0.529078       0.565202   0.778264     0.256077     0.778264     0.705310     0.392169        0.705310        0.868051     0.190106      0.868051    
178     0.780759     0.658647     0.529201       0.564829   0.778520     0.255926     0.778520     0.705363     0.392788        0.705363        0.868608     0.189795      0.868608    
179     0.780694     0.658839     0.529427       0.565063   0.778645     0.256346     0.778645     0.705476     0.393432        0.705476        0.868747     0.190106      0.868747    
180     0.780846     0.658454     0.529148       0.565025   0.778340     0.256131     0.778340     0.705343     0.392421        0.705343        0.868190     0.190106      0.868190    
181     0.780618     0.659417     0.529673       0.564997   0.779158     0.256044     0.779158     0.705583     0.394686        0.705583        0.869862     0.189484      0.869862    
182     0.780542     0.659513     0.529485       0.564559   0.779316     0.255158     0.779316     0.705477     0.394531        0.705477        0.870419     0.188550      0.870419    
183     0.780450     0.659802     0.529780       0.564633   0.779517     0.255633     0.779517     0.705623     0.395440        0.705623        0.870698     0.188861      0.870698    
184     0.780626     0.659706     0.529968       0.564445   0.779359     0.256518     0.779359     0.705729     0.395590        0.705729        0.870141     0.189795      0.870141    
185     0.780696     0.659609     0.529812       0.564691   0.779310     0.256151     0.779310     0.705650     0.395198        0.705650        0.870141     0.189484      0.870141    
186     0.780781     0.659417     0.529673       0.564713   0.779158     0.256044     0.779158     0.705583     0.394686        0.705583        0.869862     0.189484      0.869862    
187     0.780827     0.659224     0.529791       0.564969   0.778922     0.256873     0.778922     0.705656     0.394584        0.705656        0.869165     0.190417      0.869165    
188     0.780761     0.659417     0.529845       0.564893   0.779102     0.256669     0.779102     0.705676     0.394958        0.705676        0.869583     0.190106      0.869583    
189     0.780654     0.659417     0.529845       0.564762   0.779102     0.256669     0.779102     0.705676     0.394958        0.705676        0.869583     0.190106      0.869583    
190     0.780775     0.659513     0.529828       0.564460   0.779206     0.256410     0.779206     0.705663     0.395078        0.705663        0.869862     0.189795      0.869862    
191     0.780430     0.659994     0.529747       0.564660   0.779724     0.255113     0.779724     0.705597     0.395683        0.705597        0.871255     0.188239      0.871255    
